"V1","V2","V3"
"District 40 Absentee","2002","General"
"District 40 Question","2002","General"
"Ketchikan No. 1","2002","Primary"
"Ketchikan No. 2","2002","Primary"
"Ketchikan No. 3","2002","Primary"
"North Tongass No. 1","2002","Primary"
"North Tongass No. 2","2002","Primary"
"Saxman","2002","Primary"
"South Tongass","2002","Primary"
"Thorne Bay","2002","Primary"
"Coffman Cove","2002","Primary"
"Sitka No. 1","2002","Primary"
"Sitka No. 2","2002","Primary"
"Halibut Point","2002","Primary"
"Sawmill Creek","2002","Primary"
"Petersburg/Kupreanof","2002","Primary"
"Wrangell","2002","Primary"
"Pelican/Elfin Cove","2002","Primary"
"Port Alexander","2002","Primary"
"Douglas","2002","Primary"
"Juneau No. 1","2002","Primary"
"Juneau No. 2","2002","Primary"
"Juneau No. 3","2002","Primary"
"Juneau No. 4","2002","Primary"
"Juneau Airport Area","2002","Primary"
"Lemon Creek","2002","Primary"
"North Douglas","2002","Primary"
"Salmon Creek","2002","Primary"
"Switzer Creek","2002","Primary"
"Mendenhall Valley No. 1","2002","Primary"
"Mendenhall Valley No. 2","2002","Primary"
"Mendenhall Valley No. 3","2002","Primary"
"Mendenhall Valley No. 4","2002","Primary"
"Auke Bay/Fritz Cove","2002","Primary"
"Lynn Canal","2002","Primary"
"Angoon","2002","Primary"
"Cordova","2002","Primary"
"Craig","2002","Primary"
"Gustavus","2002","Primary"
"Haines Chilkat Peninsula","2002","Primary"
"Haines No. 1","2002","Primary"
"Haines Highway","2002","Primary"
"Hoonah","2002","Primary"
"Hydaburg","2002","Primary"
"Kake","2002","Primary"
"Kasaan","2002","Primary"
"Klawock","2002","Primary"
"Klukwan","2002","Primary"
"Metlakatla","2002","Primary"
"Northern Prince of Wales","2002","Primary"
"Skagway","2002","Primary"
"Tatitlek","2002","Primary"
"Tenakee","2002","Primary"
"Yakutat","2002","Primary"
"Allakaket","2002","Primary"
"Aniak","2002","Primary"
"Anvik","2002","Primary"
"Arctic Village","2002","Primary"
"Beaver","2002","Primary"
"Bettles","2002","Primary"
"Central","2002","Primary"
"Chalkyitsik","2002","Primary"
"Chistochina","2002","Primary"
"Chuathbaluk","2002","Primary"
"Circle","2002","Primary"
"Copper Center","2002","Primary"
"Crooked Creek","2002","Primary"
"Deltana","2002","Primary"
"Dot Lake","2002","Primary"
"Eagle","2002","Primary"
"Fort Yukon","2002","Primary"
"Gakona","2002","Primary"
"Galena","2002","Primary"
"Grayling","2002","Primary"
"Holy Cross","2002","Primary"
"Hughes","2002","Primary"
"Huslia","2002","Primary"
"Kaltag","2002","Primary"
"Kenny Lake","2002","Primary"
"Koyukuk","2002","Primary"
"Livengood","2002","Primary"
"Manley Hot Springs","2002","Primary"
"Marshall","2002","Primary"
"McGrath","2002","Primary"
"Mentasta","2002","Primary"
"Minto","2002","Primary"
"Nenana","2002","Primary"
"Nikolai","2002","Primary"
"Northway","2002","Primary"
"Nulato","2002","Primary"
"Rampart","2002","Primary"
"Ruby","2002","Primary"
"Russian Mission","2002","Primary"
"Shageluk","2002","Primary"
"Sleetmute","2002","Primary"
"Stevens Village","2002","Primary"
"Stony River","2002","Primary"
"Takotna","2002","Primary"
"Tanacross","2002","Primary"
"Tanana","2002","Primary"
"Tetlin","2002","Primary"
"Tok","2002","Primary"
"Tyonek","2002","Primary"
"Venetie","2002","Primary"
"Chatanika","2002","Primary"
"Farmers Loop","2002","Primary"
"Fox","2002","Primary"
"Goldstream No. 1","2002","Primary"
"Shanly","2002","Primary"
"Steele Creek/Gilmore","2002","Primary"
"Steese East","2002","Primary"
"Steese West","2002","Primary"
"Two Rivers","2002","Primary"
"Anderson","2002","Primary"
"Cantwell","2002","Primary"
"Chena","2002","Primary"
"Clear","2002","Primary"
"Denali Park","2002","Primary"
"Ester","2002","Primary"
"Geist","2002","Primary"
"Goldstream No. 2","2002","Primary"
"Healy","2002","Primary"
"Pike","2002","Primary"
"University Campus","2002","Primary"
"University Hills","2002","Primary"
"University West","2002","Primary"
"Airport","2002","Primary"
"Aurora","2002","Primary"
"Fairbanks No. 1","2002","Primary"
"Fairbanks No. 3","2002","Primary"
"Fairbanks No. 4","2002","Primary"
"Fairbanks No. 5","2002","Primary"
"Fairbanks No. 6","2002","Primary"
"Fairbanks No. 7","2002","Primary"
"Fairbanks No. 10","2002","Primary"
"Fairbanks No. 2","2002","Primary"
"Fairbanks No. 8","2002","Primary"
"Fairbanks No. 9","2002","Primary"
"Fort Wainwright","2002","Primary"
"Lakeview","2002","Primary"
"Badger No. 1","2002","Primary"
"Badger No. 2","2002","Primary"
"Chena Lakes","2002","Primary"
"Moose Creek","2002","Primary"
"Newby","2002","Primary"
"North Pole","2002","Primary"
"Plack","2002","Primary"
"Richardson","2002","Primary"
"Big Delta","2002","Primary"
"Delta Junction","2002","Primary"
"Eielson","2002","Primary"
"Farm Loop","2002","Primary"
"Glennallen","2002","Primary"
"Paxson","2002","Primary"
"Salcha","2002","Primary"
"Sheep Mountain","2002","Primary"
"Sutton","2002","Primary"
"Valdez No. 1","2002","Primary"
"Valdez No. 2","2002","Primary"
"Valdez No. 3","2002","Primary"
"Fishhook","2002","Primary"
"Greater Palmer","2002","Primary"
"Lakes","2002","Primary"
"Mat-Su Campus","2002","Primary"
"Palmer","2002","Primary"
"Palmer Fishhook","2002","Primary"
"Pioneer Peak","2002","Primary"
"Trunk","2002","Primary"
"Walby Lake","2002","Primary"
"Kings Lake","2002","Primary"
"Knik","2002","Primary"
"Schrock","2002","Primary"
"Seward Meridian","2002","Primary"
"Wasilla Lake","2002","Primary"
"Wasilla No. 1","2002","Primary"
"Wasilla No. 2","2002","Primary"
"Big Lake","2002","Primary"
"Houston","2002","Primary"
"Knik Goose Bay","2002","Primary"
"Meadow Lakes No. 1","2002","Primary"
"Meadow Lakes No. 2","2002","Primary"
"Susitna","2002","Primary"
"Talkeetna","2002","Primary"
"Trapper Creek","2002","Primary"
"Willow","2002","Primary"
"Butte","2002","Primary"
"Eklutna","2002","Primary"
"Fairview","2002","Primary"
"Lazy Mountain","2002","Primary"
"Peters Creek No. 1","2002","Primary"
"Peters Creek No. 2","2002","Primary"
"Snowshoe","2002","Primary"
"Springer Loop","2002","Primary"
"Chugach Park No. 3","2002","Primary"
"Dntn Eagle River No. 1","2002","Primary"
"Dntn Eagle River No. 2","2002","Primary"
"Eagle River No. 1","2002","Primary"
"Eagle River No. 2","2002","Primary"
"Meadow Creek No. 1","2002","Primary"
"Meadow Creek No. 2","2002","Primary"
"Elmendorf","2002","Primary"
"Fire Lake","2002","Primary"
"Fort Richardson","2002","Primary"
"Government Hill No. 2","2002","Primary"
"North Muldoon","2002","Primary"
"Cheney Lake","2002","Primary"
"Creekside Park","2002","Primary"
"Muldoon No. 1","2002","Primary"
"Muldoon No. 2","2002","Primary"
"Muldoon No. 3","2002","Primary"
"Muldoon No. 4","2002","Primary"
"Nunaka Valley","2002","Primary"
"Northeast Anchorage","2002","Primary"
"North Mtn. View No. 1","2002","Primary"
"North Mtn. View No. 2","2002","Primary"
"South Mtn. View No. 1","2002","Primary"
"Wonder Park","2002","Primary"
"Baxter","2002","Primary"
"Chester Valley","2002","Primary"
"Chugach Foothills No. 1","2002","Primary"
"Chugach Foothills No. 2","2002","Primary"
"Reflection Lake","2002","Primary"
"Scenic Park","2002","Primary"
"Airport Heights No. 1","2002","Primary"
"Airport Heights No. 2","2002","Primary"
"College Gate","2002","Primary"
"East Anchorage","2002","Primary"
"Russian Jack","2002","Primary"
"South Mtn. View No. 2","2002","Primary"
"University No. 1","2002","Primary"
"University No. 2","2002","Primary"
"Downtown Anchorage No. 1","2002","Primary"
"Downtown Anchorage No. 2","2002","Primary"
"Downtown Anchorage No. 3","2002","Primary"
"Downtown Anchorage No. 4","2002","Primary"
"Fireweed","2002","Primary"
"Government Hill No. 1","2002","Primary"
"Merrill Field","2002","Primary"
"Rodgers Park","2002","Primary"
"East Dowling","2002","Primary"
"Far North Bicentennial","2002","Primary"
"Midtown No. 1","2002","Primary"
"Midtown No. 2","2002","Primary"
"Midtown No. 3","2002","Primary"
"Taku","2002","Primary"
"Tudor","2002","Primary"
"Arctic","2002","Primary"
"Conners Lake","2002","Primary"
"Northwood","2002","Primary"
"Spenard No. 1","2002","Primary"
"Spenard No. 2","2002","Primary"
"Spenard No. 3","2002","Primary"
"Westchester No. 1","2002","Primary"
"Willowcrest No. 1","2002","Primary"
"Willowcrest No. 2","2002","Primary"
"Inlet View No. 1","2002","Primary"
"Inlet View No. 2","2002","Primary"
"Lake Hood","2002","Primary"
"Lake Spenard","2002","Primary"
"Turnagain No. 1","2002","Primary"
"Turnagain No. 2","2002","Primary"
"Turnagain No. 3","2002","Primary"
"Turnagain No. 4","2002","Primary"
"Westchester No. 2","2002","Primary"
"Dimond No. 1","2002","Primary"
"Jewel Lake No. 1","2002","Primary"
"Kincaid","2002","Primary"
"Sand Lake No. 1","2002","Primary"
"Sand Lake No. 2","2002","Primary"
"Sand Lake No. 3","2002","Primary"
"Bayshore","2002","Primary"
"Campbell Lake","2002","Primary"
"Jewel Lake No. 2","2002","Primary"
"Klatt No. 1","2002","Primary"
"Oceanview No. 1","2002","Primary"
"Southport","2002","Primary"
"Campbell Creek No. 1","2002","Primary"
"Campbell Creek No. 2","2002","Primary"
"Campbell Creek No. 3","2002","Primary"
"Dimond No. 2","2002","Primary"
"Dimond No. 3","2002","Primary"
"Independence Park 1","2002","Primary"
"Independence Park 2","2002","Primary"
"Abbott Loop No. 1","2002","Primary"
"Abbott Loop No. 2","2002","Primary"
"Abbott Loop No. 3","2002","Primary"
"Abbott Loop No. 4","2002","Primary"
"Laurel/Dowling","2002","Primary"
"Lore No. 1","2002","Primary"
"Lore No. 2","2002","Primary"
"Huffman No. 1","2002","Primary"
"Huffman No. 2","2002","Primary"
"Huffman No. 3","2002","Primary"
"Huffman No. 4","2002","Primary"
"Huffman No. 5","2002","Primary"
"Huffman No. 6","2002","Primary"
"Huffman No. 7","2002","Primary"
"Huffman No. 8","2002","Primary"
"Bear Valley","2002","Primary"
"Centennial Park","2002","Primary"
"Chugach Park No. 1","2002","Primary"
"Chugach Park No. 2","2002","Primary"
"Girdwood","2002","Primary"
"Golden View","2002","Primary"
"Hiland","2002","Primary"
"Hope","2002","Primary"
"Indian","2002","Primary"
"Rabbit Creek","2002","Primary"
"Stuckagain Heights","2002","Primary"
"Whittier","2002","Primary"
"Kenai No. 1","2002","Primary"
"Kenai No. 2","2002","Primary"
"Kenai No. 3","2002","Primary"
"K-Beach","2002","Primary"
"Soldotna","2002","Primary"
"Funny River","2002","Primary"
"Kasilof","2002","Primary"
"Mackey Lake","2002","Primary"
"Nikiski","2002","Primary"
"Ninilchik","2002","Primary"
"Scout Lake","2002","Primary"
"Salamatoff","2002","Primary"
"Sterling","2002","Primary"
"Homer No. 1","2002","Primary"
"Homer No. 2","2002","Primary"
"Anchor Point","2002","Primary"
"Bear Creek","2002","Primary"
"Cooper Landing","2002","Primary"
"Diamond Ridge","2002","Primary"
"Kachemak Bay","2002","Primary"
"Kachemak City/Fritz Creek","2002","Primary"
"Moose Pass","2002","Primary"
"Seldovia","2002","Primary"
"Seward","2002","Primary"
"Cape Chiniak","2002","Primary"
"Flats","2002","Primary"
"Kodiak Island South","2002","Primary"
"Kodiak No. 1","2002","Primary"
"Kodiak No. 2","2002","Primary"
"Mission Road","2002","Primary"
"Old Harbor","2002","Primary"
"Ouzinkie","2002","Primary"
"Port Lions","2002","Primary"
"Iliamna/Newhalen","2002","Primary"
"Kokhanok/Igiugig","2002","Primary"
"Levelock","2002","Primary"
"Nondalton","2002","Primary"
"Pedro Bay","2002","Primary"
"Akutan","2002","Primary"
"Aleknagik","2002","Primary"
"Aleutians No. 1","2002","Primary"
"Aleutians No. 2","2002","Primary"
"Chigniks","2002","Primary"
"Clarks Point","2002","Primary"
"Cold Bay","2002","Primary"
"Dillingham","2002","Primary"
"Egegik-Pilot Point","2002","Primary"
"Ekwok","2002","Primary"
"King Cove","2002","Primary"
"King Salmon","2002","Primary"
"Koliganek","2002","Primary"
"Manokotak","2002","Primary"
"Naknek","2002","Primary"
"New Stuyahok","2002","Primary"
"Port Heiden","2002","Primary"
"Sand Point","2002","Primary"
"South Naknek","2002","Primary"
"St. George Island","2002","Primary"
"St. Paul Island","2002","Primary"
"Togiak","2002","Primary"
"Akiachak","2002","Primary"
"Akiak","2002","Primary"
"Atmautluak","2002","Primary"
"Bethel No. 1","2002","Primary"
"Bethel No. 2","2002","Primary"
"Bethel No. 3","2002","Primary"
